id_proyecto;nombre;descripcion;departamento;provincia;distrito;ubigeo;beneficiarios;avance;fecha_inicio;fecha_fin;tipo;estado;presupuesto;ifi;tipo_ifi
1;Mejoramiento de Infraestructura Hospitalaria LIMA;Implementacion de infraestructura medica moderna para atender a la poblacion de LIMA, en el departamento de LIMA.;LIMA;LIMA;LIMA;150101;1012;56;2023-02-18;2024-06-09;Salud;Pausado;5460600;Credito;Banco
2;Proyecto Habitacional Popular LIMA;Proyecto de construccion de viviendas dignas para familias con bajos recursos economicos en el distrito de COMAS, ubicado en el departamento de LIMA.;LIMA;LIMA;COMAS;150110;304;68;2023-06-06;2024-11-15;Vivienda;Pausado;17425600;Financiera Efectiva S. A;Financiera
3;Modernizacion de Instituciones Educativas LIMA;Rehabilitacion y equipamiento de centros educativos para mejorar la calidad del aprendizaje en comunidades de COMAS, LIMA.;LIMA;LIMA;COMAS;150110;2353;9;2024-11-27;2027-02-02;Educacion;Activo;3230100;Financiera Efectiva S. A;Financiera
4;Ampliacion de Centros Educativos PIURA;Rehabilitacion y equipamiento de centros educativos para mejorar la calidad del aprendizaje en comunidades de 26 DE OCTUBRE, PIURA.;PIURA;PIURA;26 DE OCTUBRE;200115;2106;26;2024-09-02;2025-11-06;Educacion;Completado;2661100;Financiera Efectiva S. A;Financiera
5;Carretera Rural LIMA;Construccion y mantenimiento de infraestructura vial clave para conectar zonas rurales de COMAS, LIMA.;LIMA;LIMA;COMAS;150110;1928;31;2024-01-30;2026-02-23;Infraestructura;Pausado;4078700;Financiera Efectiva S. A;Financiera
6;Puente Interdistrital LIMA;Construccion y mantenimiento de infraestructura vial clave para conectar zonas rurales de COMAS, LIMA.;LIMA;LIMA;COMAS;150110;1243;12;2024-09-02;2026-12-25;Infraestructura;Activo;24501800;Financiera Efectiva S. A;Financiera
7;Centro de Integracion Social LIMA;Programa integral de inclusion y desarrollo comunitario dirigido a poblaciones vulnerables de COMAS, LIMA.;LIMA;LIMA;COMAS;150110;939;26;2024-06-25;2026-03-09;Desarrollo social;Activo;5394500;Financiera Efectiva S. A;Financiera
8;Construccion de Viviendas Sociales LIMA;Proyecto de construccion de viviendas dignas para familias con bajos recursos economicos en el distrito de COMAS, ubicado en el departamento de LIMA.;LIMA;LIMA;COMAS;150110;4567;14;2024-07-20;2025-07-31;Vivienda;Completado;17893400;Financiera Efectiva S. A;Financiera
9;Infraestructura de Saneamiento Basico LIMA;Instalacion de sistemas de agua potable y alcantarillado para mejorar la salud publica en COMAS, LIMA.;LIMA;LIMA;COMAS;150110;812;30;2024-11-27;2026-03-24;Saneamiento;Activo;2227200;Financiera Efectiva S. A;Financiera
10;Proyecto Habitacional Popular LIMA;Proyecto de construccion de viviendas dignas para familias con bajos recursos economicos en el distrito de COMAS, ubicado en el departamento de LIMA.;LIMA;LIMA;COMAS;150110;4937;62;2024-11-29;2026-08-29;Vivienda;Activo;4992800;Financiera Efectiva S. A;Financiera
